종목코드,종목명,적용시작일,WICS대,WICS중,WICS소,KRX섹터,산업분류
377030,비트맥스,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
377190,디앤디플랫폼리츠,2026-07-01,금융,부동산,부동산,,부동산 임대 및 공급업
377220,프롬바이오,2026-07-01,건강관리,건강관리장비와서비스,건강관리업체및서비스,,기타 식품 제조업
377300,카카오페이,2026-07-01,IT,소프트웨어와서비스,IT서비스,,기타 금융업
377330,이지트로닉스,2026-07-01,IT,전자와 전기제품,전기제품,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
377450,리파인,2026-07-01,산업재,상업서비스와공급품,상업서비스와공급품,,기타 정보 서비스업
377460,큐에이드,2026-07-01,산업재,상업서비스와공급품,상업서비스와공급품,,개인 및 가정용품 수리업
377480,마음AI,2026-07-01,IT,소프트웨어와서비스,IT서비스,,소프트웨어 개발 및 공급업
377740,바이오노트,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용품 및 기타 의약 관련제품 제조업
378340,필에너지,2026-07-01,IT,전자와 전기제품,전기제품,,특수 목적용 기계 제조업
378800,샤페론,2026-07-01,건강관리,제약과생물공학,제약,,기초 의약물질 제조업
378850,화승알앤에이,2026-07-01,경기관련소비재,자동차와부품,자동차부품,,자동차 신품 부품 제조업
380540,옵티코어,2026-07-01,IT,기술하드웨어와장비,통신장비,,마그네틱 및 광학 매체 제조업
380550,뉴로핏,2026-07-01,건강관리,건강관리장비와서비스,건강관리기술,,소프트웨어 개발 및 공급업
381620,제닉스로보틱스,2026-07-01,산업재,자본재,기계,,특수 목적용 기계 제조업
381970,케이카,2026-07-01,경기관련소비재,자동차와부품,자동차,KRX 경기소비재,자동차 판매업
382150,온코크로스,2026-07-01,건강관리,제약과생물공학,생명과학도구및서비스,,자연과학 및 공학 연구개발업
382480,지아이텍,2026-07-01,IT,전자와 전기제품,전기제품,,특수 목적용 기계 제조업
382800,지앤비에스 에코,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,특수 목적용 기계 제조업
382840,원준,2026-07-01,IT,전자와 전기제품,전기제품,,특수 목적용 기계 제조업
382900,범한퓨얼셀,2026-07-01,IT,전자와 전기제품,전기제품,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
383220,F&F,2026-07-01,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",KRX 경기소비재,봉제의복 제조업
383310,에코프로에이치엔,2026-07-01,산업재,상업서비스와공급품,상업서비스와공급품,,기타 화학제품 제조업
383800,LX홀딩스,2026-07-01,산업재,자본재,무역회사와판매업체,,기타 금융업
383930,디티앤씨알오,2026-07-01,건강관리,제약과생물공학,생명과학도구및서비스,,자연과학 및 공학 연구개발업
384470,코어라인소프트,2026-07-01,건강관리,건강관리장비와서비스,건강관리기술,,소프트웨어 개발 및 공급업
387570,파인메딕스,2026-07-01,건강관리,건강관리장비와서비스,건강관리장비와용품,,의료용 기기 제조업
388050,지투파워,2026-07-01,산업재,자본재,전기장비,,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
388210,씨엠티엑스,2026-07-01,IT,반도체와반도체장비,반도체와반도체장비,,전자부품 제조업
388610,지에프씨생명과학,2026-07-01,건강관리,제약과생물공학,생물공학,,기타 화학제품 제조업
